# version: Permenkes 2/2020
# lastUpdated: 2026-03-16
# source: Permenkes No. 2 Tahun 2020
sex,referenceType,referenceValue,L,M,S
L,height,110.5,-0.34,18.7,0.088278
L,height,111,-0.298,18.9,0.089691
L,height,111.5,-0.282,19.1,0.088751
L,height,112,-0.404,19.2,0.090573
L,height,112.5,-0.398,19.4,0.089642
L,height,113,-0.412,19.6,0.088726
L,height,113.5,-0.346,19.8,0.090686
L,height,114,-0.343,20,0.089777
L,height,114.5,-0.401,20.2,0.088887
L,height,115,-0.309,20.4,0.092946
L,height,115.5,-0.302,20.6,0.092041
L,height,116,-0.359,20.8,0.091156
L,height,116.5,-0.304,21,0.090285
L,height,117,-0.233,21.2,0.094176
L,height,117.5,-0.302,21.4,0.093296
L,height,118,-0.273,21.6,0.092429
L,height,118.5,-0.348,21.8,0.091582
L,height,119,-0.274,22,0.093303
L,height,119.5,-0.265,22.2,0.094459
L,height,120,-0.31,22.4,0.093617
P,height,45,-0.103,2.5,0.080199
P,height,45.5,-0.822,2.5,0.097258
P,height,46,-0.561,2.6,0.093894
P,height,46.5,-0.617,2.7,0.090413
P,height,47,-0.673,2.8,0.087181
P,height,47.5,0.103,2.9,0.103764
P,height,48,-0.119,3,0.100398
P,height,48.5,-0.146,3.1,0.097148
P,height,49,0.336,3.2,0.093902
P,height,49.5,0.316,3.3,0.091054
P,height,50,0.039,3.4,0.088452
P,height,50.5,-0.153,3.5,0.085976
P,height,51,-0.542,3.6,0.083714
P,height,51.5,0.042,3.7,0.081248
P,height,52,-0.394,3.8,0.09086
P,height,52.5,-0.434,3.9,0.088524
P,height,53,-0.875,4,0.086063
P,height,53.5,0.081,4.2,0.095493
P,height,54,-0.206,4.3,0.093382
P,height,54.5,-0.436,4.4,0.09135
P,height,55,-0.923,4.5,0.085818
P,height,55.5,-0.473,4.7,0.085483
P,height,56,-0.327,4.8,0.092882
P,height,56.5,0.066,5,0.091076
P,height,57,-0.146,5.1,0.098428
P,height,57.5,-0.674,5.2,0.085633
P,height,58,0.017,5.4,0.092852
P,height,58.5,-0.159,5.5,0.091224
P,height,59,-0.316,5.6,0.097543
P,height,59.5,-0.721,5.7,0.08563
P,height,60,-0.122,5.9,0.084988
P,height,60.5,-0.328,6,0.09105
P,height,61,-0.514,6.1,0.089511
P,height,61.5,-0.115,6.3,0.09558
P,height,62,-0.131,6.4,0.094083
P,height,62.5,-0.278,6.5,0.092692
P,height,63,-0.275,6.6,0.097995
P,height,63.5,-0.598,6.7,0.087931
P,height,64,-0.133,6.9,0.087223
P,height,64.5,-0.317,7,0.086036
P,height,65,-0.657,7.2,0.089778
P,height,65.5,-0.181,7.4,0.09496
P,height,66,-0.301,7.5,0.093742
P,height,66.5,-0.171,7.6,0.092438
P,height,67,-0.176,7.7,0.091231
P,height,67.5,-0.315,7.8,0.090112
P,height,68,-0.258,7.9,0.094586
P,height,68.5,-0.42,8,0.093389
P,height,69,-0.436,8.1,0.092234
P,height,69.5,-0.452,8.2,0.091107
P,height,70,-0.442,8.3,0.090009
P,height,70.5,-0.46,8.4,0.088935
P,height,71,-0.466,8.5,0.087888
P,height,71.5,-0.611,8.6,0.086857
P,height,72,-0.46,8.7,0.085867
P,height,72.5,-0.389,8.8,0.089896
P,height,73,-0.28,8.9,0.095242
P,height,73.5,-0.377,9,0.094181
